"scCv2|GABAergic" "scCv2|Glutamatergic" "scCv2|Other" "scCv3|GABAergic" "scCv3|Glutamatergic" "scCv3|Other" "scSS|GABAergic" "scSS|Glutamatergic" "scSS|Other" "snCv2|GABAergic" "snCv2|Glutamatergic" "snCv2|Other" "snCv3M|GABAergic" "snCv3M|Glutamatergic" "snCv3M|Other" "snCv3Z|GABAergic" "snCv3Z|Glutamatergic" "snCv3Z|Other" "snSS|GABAergic" "snSS|Glutamatergic" "snSS|Other"
"Arhgef28" -96.1727795704155 -856.122468508148 23.6987046736124 105.007992163907 -941.309849126857 53.9453935130319 -5.70568562336655 -9.04530252105404 -0.361100664269649 -122.776713026804 -605.320419157038 1.33998449090885 -216.872939331281 -798.093578006363 1687.21832614893 -109.139586535274 -562.61707823771 8.58426915520671 -19.0058501091781 -35.4418102849348 0.420302950848262
"Aste1" -475.865783666478 -891.393576668093 -15.6207189316619 -159.541003680872 -972.589428431145 -25.4710118827902 -48.8681233225022 -37.3276555639988 -0.336435385858315 -81.6559956660792 9.84312632943679 -5.09836141854449 -188.344167820454 -286.076727532426 -561.672013269537 -46.1008533384743 255.847292446656 -1.28399856061992 -25.0915247312426 -8.63427592251728 -3.00666255574524
"Atg5" -104.0458976549 645.989040540097 4.12032437688973 50.193650018515 1360.17444716859 10.6790211790649 77.2142179210482 277.782576026725 1.63308470856387 -114.616450781788 -353.603536587548 -6.71821333083609 34.676665039605 1095.97921328275 231.657151564787 -42.8828432089047 191.77612818767 -2.54266878614337 5.42049995326735 37.5619045067183 -0.848553671647973
"Atp11c" -51.1702768922953 -1077.39203687234 -2.08396177536105 138.500112313197 -66.8805907450658 17.5242664999304 -35.9591743091314 -128.670066151651 -0.243431027823898 -46.0107652968119 -253.560743399635 -3.6704930310975 120.400288475882 160.481785488826 560.124793486531 6.13667321124164 162.876451690084 -1.63566223175713 1.20776701765141 -44.0324845901038 0.0982085404478946
"Atp2b4" -590.501211433956 4349.68861252379 -13.4364219321535 -209.598621906127 2434.80771956663 -11.0133479399657 -69.4425182156549 168.304040742311 1.1766071598119 -185.507564273864 189.614492833376 -9.2205791457595 -507.924576142852 2146.0267513811 -853.392184645826 -197.539816022062 -90.0370889973758 -6.30729906002386 -38.027684711428 149.243028073595 -2.95930540720504
"Atp5s" -249.002181867066 -807.102755136647 -10.5294395944966 -104.357522304793 -922.936532990706 -18.1329250772714 122.94129240789 245.12887219494 -0.121201732438962 -109.898203760454 -459.919099562667 -7.26479740045475 -262.548540786635 -1336.1509561877 -655.737592447873 -123.726106942465 -467.389644050914 -5.94742872620544 27.4171163988357 60.4759710866623 1.97547639276401
"BC030499" -824.299926883618 356.317820354282 -23.5511147682137 -302.491346638748 0.344841522869002 -36.8272178830349 -68.0875793071522 20.8390360085218 -0.779491675005815 -151.162395586278 1495.17460269086 -9.91823790297913 -551.122852130097 1314.49844317088 -1268.57828207278 -174.499336901932 291.517871232545 -7.52964182589084 -33.4538035074081 69.9308859051685 -2.66025654270273
"Bcan" -634.412596513004 -3041.78083472442 63.8493719466473 -295.4153033495 -2942.30938607286 48.4394928554167 -15.3752537380865 -166.970754309442 0.395838814560365 106.869048557696 -924.633447286919 78.0210607223199 -177.665691350405 -2852.17052860015 1992.97400533748 -41.7089546330188 -953.092946844819 20.66704497529 13.6720868617566 -91.7915017698711 15.2131393757659
"Bcat1" 792.404296780135 -58.8678364477931 -15.9172689224748 283.850300637491 167.888866508919 -11.3580944460732 147.324997383581 182.320953807737 -0.801726627040388 7.93996019539051 -661.069668776607 -7.90265287028734 259.834078720412 -762.687441889327 -247.910187883763 76.7468707625229 -247.850019129935 -6.62382835992627 62.8280951278113 16.5151031486309 -1.67158349021648
"Bcl11b" 1107.95612278907 2489.52816996844 -20.4503522154244 304.902048991594 875.887723877014 -29.5401252761225 43.9127112614717 28.5550807057135 -0.930473105553608 136.606914981081 409.295835280619 -10.4357456318342 488.268237600908 1285.25651158369 -1131.50372687324 176.371288918417 162.84212347096 -8.86072011251631 37.1191123856207 65.7509646403225 -4.50374168773111
"Bdnf" -897.198262665231 2654.1129048714 -23.199602249884 -322.500319280395 2464.61641857081 -31.8636198162158 -77.4976628286084 175.801229734982 -0.930473105553608 -198.32327348753 -169.754876007407 -10.2376588538217 -582.025332453283 123.366095214004 -1154.69682813471 -213.027874083261 -435.199370944902 -8.64215828672609 -46.5521889687606 64.6411098697521 -3.47924796041466
